,count,mean,median,sample std,sample variance,min,max,Q1,Q3,IQR
Group Stage,36.0,2.5555555555555554,2.0,1.6808916756878847,2.825396825396825,0.0,6.0,1.0,4.0,3.0
Knockout Stage,16.0,2.5,2.5,1.4142135623730951,2.0,0.0,5.0,1.75,3.0,1.25
