,count,mean,median,sample std,sample variance,min,max,Q1,Q3,IQR
Winner Yellow Cards,40.0,0.9,1.0,0.9818872461248106,0.9641025641025643,0.0,3.0,0.0,1.0,1.0
Loser Yellow Cards,40.0,1.55,1.5,1.131144190405087,1.2794871794871796,0.0,5.0,1.0,2.0,1.0
Yellow Card Difference,40.0,0.65,1.0,1.3310878527711354,1.7717948717948717,-3.0,5.0,0.0,1.0,1.0
