Date,Team 1,Team 2,Score 1,Score 2,Yellow 1,Yellow 2,Stage,Source record,Winner,Loser,Winner Yellow Cards,Loser Yellow Cards,Yellow Card Difference
2026-06-28,Jordan,Argentina,1,3,3,0.0,GROUP STAGE,75,Argentina,Jordan,0.0,3.0,3.0
2026-06-28,South Africa,Canada,0,1,0,2.0,ROUND OF 32,79,Canada,South Africa,2.0,0.0,-2.0
2026-06-29,Brazil,Japan,2,1,2,3.0,ROUND OF 32,80,Brazil,Japan,2.0,3.0,1.0
2026-06-30,Ivory Coast,Norway,1,2,0,1.0,ROUND OF 32,83,Norway,Ivory Coast,1.0,0.0,-1.0
2026-06-30,France,Sweden,3,0,0,0.0,ROUND OF 32,84,France,Sweden,0.0,0.0,0.0
2026-06-30,Mexico,Ecuador,2,0,0,3.0,ROUND OF 32,85,Mexico,Ecuador,0.0,3.0,3.0
2026-07-01,England,D.R. Congo,2,1,1,1.0,ROUND OF 32,86,England,D.R. Congo,1.0,1.0,0.0
2026-07-01,Belgium,Senegal,3,2,1,1.0,ROUND OF 32,87,Belgium,Senegal,1.0,1.0,0.0
2026-07-01,USA,Bosnia & Herzegovina,2,0,0,1.0,ROUND OF 32,88,USA,Bosnia & Herzegovina,0.0,1.0,1.0
2026-07-02,Spain,Austria,3,0,0,1.0,ROUND OF 32,89,Spain,Austria,0.0,1.0,1.0
2026-07-02,Portugal,Croatia,2,1,1,2.0,ROUND OF 32,90,Portugal,Croatia,1.0,2.0,1.0
2026-07-02,Switzerland,Algeria,2,0,0,2.0,ROUND OF 32,91,Switzerland,Algeria,0.0,2.0,2.0
2026-07-03,Argentina,Cape Verde,3,2,1,1.0,ROUND OF 32,93,Argentina,Cape Verde,1.0,1.0,0.0
2026-07-03,Colombia,Ghana,1,0,2,3.0,ROUND OF 32,94,Colombia,Ghana,2.0,3.0,1.0
2026-07-04,Canada,Morocco,0,3,4,4.0,ROUND OF 16,98,Morocco,Canada,4.0,4.0,0.0
2026-07-04,Paraguay,France,0,1,0,3.0,ROUND OF 16,99,France,Paraguay,3.0,0.0,-3.0
2026-07-05,Brazil,Norway,1,2,1,0.0,ROUND OF 16,100,Norway,Brazil,0.0,1.0,1.0
2026-07-05,Mexico,England,2,3,2,3.0,ROUND OF 16,101,England,Mexico,3.0,2.0,-1.0
2026-07-06,Portugal,Spain,0,1,2,1.0,ROUND OF 16,102,Spain,Portugal,1.0,2.0,1.0
2026-07-06,USA,Belgium,1,4,2,0.0,ROUND OF 16,103,Belgium,USA,0.0,2.0,2.0
2026-07-07,Argentina,Egypt,3,2,0,3.0,ROUND OF 16,104,Argentina,Egypt,0.0,3.0,3.0
2026-07-09,France,Morocco,2,0,0,1.0,QUARTER FINALS,109,France,Morocco,0.0,1.0,1.0
2026-07-10,Spain,Belgium,2,1,2,2.0,QUARTER FINALS,110,Spain,Belgium,2.0,2.0,0.0
2026-07-11,Norway,England,1,2,1,0.0,QUARTER FINALS,111,England,Norway,0.0,1.0,1.0
2026-07-11,Argentina,Switzerland,3,1,3,2.0,QUARTER FINALS,112,Argentina,Switzerland,3.0,2.0,-1.0
2026-07-14,France,Spain,0,2,2,1.0,SEMI FINALS,116,Spain,France,1.0,2.0,1.0
2026-07-15,England,Argentina,1,2,1,3.0,SEMI FINALS,117,Argentina,England,3.0,1.0,-2.0
2026-07-19,Spain,Argentina,1,0,0,5.0,FINAL,121,Spain,Argentina,0.0,5.0,5.0
